Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
CV. HERRY JAYA UTAMA,"
                                    PREMIUM GOLD
                                ",Rumah Sakit,"
              CV. HERRY JAYA UTAMA ( freza_ wa@ yahoo.co.id) Sebagai Sole Agent / Distributor, Jual alat kesling / laboratorium product : Haz Dust, Wohler / woehler, Kimo Instruments, E Instruments, HI-Q, Staplex, Sensit Technologies, Vzor, Partech UK Instruments, dengan ini kami menjual peralatan sebagai berikut : MENJUAL : ALAT SAFETY ALAT TEHNIK CIPIL ALAT INSTRUMENTS ALAT LINGKUNGAN HIDUP ALAT KESEHATAN ALAT UJI AIR ( WATER TEST KIT ) ALAT UJI MAKANAN ( FOOD DETECTION KIT ) ALAT UKUR INTENSITAS SUARA SOUND LEVEL METER ALAT UKUR KEBISINGAN DI AREA KERJA ALAT LABORATURIUM KESEHATAN ALAT UJI EMISI / GAS BUANG INSENERATOR RANSEL TAS PUNGGUNG PEMADAM KEBAKARAN MICROSCOPE ALAT UKUR NOISE DOSIMETER ALAT UKUR KEBISINGAN PERSONAL VIBRATION METER ALAT UKUR GETARAN HUMIDITY METER ALAT UKUR KELEMBABAN ALAT UKUR SUHU ALAT UKUR KECEPATAN ALIRAN UDARA LUX METER ALAT UKUR INTENSITAS CAHAYA ALAT UKUR KEDALAMAN TANGKI MINYAK WBGT METER ALAT UKUR IKLIM KERJA DEEP STICk MIST BLOWER STIHL CHAINSAW STIHL TMBANGAN KURSI RODA SPECTROPHOTOMETER MICROSCOPE BLOOD LEAD TEST INCUBATOR WATER ANALYS Kami Juga Menyediakan IPAL untuk puskesmas atau rumah sakit.            ","
              Komplek Samudera Indonesia A3 no. 6 Jl. Tole Iskandar            ",Depok,Jawa Barat,+62 812-1226-5508,None,None
BUMI INDAH PUTRA,"
                                    PREMIUM GOLD
                                ",Rumah Sakit,"
              INFO PRODUK :Rony Hamid 085280079118            ","
              (Kantor Pemasaran) : Graha Bumi Indah  Jl. Inspeksi Kalimalang Kav. Agraria Blok E No. 80/10 Duren Sawit - Jakarta Timur     (Workshop)  : Jl. Kejaksaan Blok d No.85 RT.011/ 11 Pondok Bambu - Duren Sawit, Jakarta Timur |            ",Jakarta,DKI Jakarta,085280079118,None,None
