Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
Komodo Lbajo Permai,"
                                    PREMIUM GOLD
                                ",Paket Tour,"
              PT. Komodo Lbajo Permai merupakan salah satu perusahaan yang bergerak dalam bidang jasa Tour and Travel. Menyelenggarakan perjalanan wisata untuk kawasan Flores dan Labuanbajo pada khususnya. Siap menjadi rekanan dan teman perjalanan anda, dengan semboyan Your trip patner. Memberikan pelayanan maksimal dengan harga yang terbaik, Terima kasih.            ","
              Komplek Bandara Jl. Gua Firdaus RT.019/004 Kelurahan Labuanbajo - Kecamatan Komodo - Kabupaten Manggarai Barat - NTT.            ",Labuanbajo,Nusa Tenggara Timur,081213275213,None,None
PT. Al Hijaz Indowisata,"
",Paket Tour,"
Alhijaz Indowisata berdiri sejak tahun 2000. Nama Alhijaz diambil dari dua kota suci Mekah dan Madinah yang saat dulu disebut sebagai al-Hijaz, yang kemudian menjadi inspirasi pemberian nama Al-Hijaz sebagai nama perusahaan Travel Umroh yang bergerak dibidang pemberangkatan jamaah haji dan umroh. Seperti keistimewaan 2 kota suci tersebut, diharapkan akan menularkan kebaikan kebaikan pada layanan dan kinerja kami. Sedangkan Indowisata merupakan persamaan kata dari indo yang berarti Indonesia, sedangkan wisata merupakan fokus bisnis dari Alhijaz. Travel umroh Alhijaz telah mengantongi ijin resmi dari pemerintah RI. Selain ijin resmi travel umroh dan haji, Alhijaz juga memiliki lisensi provider Visa. Keberangkatan kami InsyaAllah selalu tepat waktu dengan paket umroh lengkap, serta senantiasa menyediakan pembimbing berkualitas sesuai sunah Rasulullah. Hal tersebut telah menjadi bukti keseriusan kami dalam memberikan layanan terbaik untuk para calon Tamu Allah swt.Untuk lebih lanjut bisa cek website untuk jadwal keberangkatan :www.alhijazindowisata.com ","
              Graha Alhijaz Lt.3Jl. Dewi Sartika 239 A Cawang. Jakarta Timur 13630            ",Jakarta Timur,DKI Jakarta,None,None,None
