Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
KLININGKU,"
                                    PREMIUM GOLD
                                ",Service AC,"
              Kliningku melayani jasa cleaning service di berbagai lokasi seperti :- Sekolah- Rumah- Apartment- Kosan- KantorDan lain lain            ","
              Jl Pasir Putih 17 Sawangan, Depok, Jawa Barat ",Depok,Jawa Barat,+62 816-1457-597,None,None
PT HASTA KARYA TEKNIK,"
                                    PREMIUM GOLD
                                ",Service AC,"
              Kami bergerak di bidang Electrical, Mechanical dan Fabrikasi untuk kebutuhan industri. Bidang electrical meliputi Pembuatan panel distribusi, repair electrical part sampai dengan pembuatan sistem automation menggunakan plc dan HMI. Bidang Mechanical meliputi overhoul dan trouble shooting mesin industri seperti, milling cnc , bubut cnc, injection moulding, die casting dll. Maker mesin seperti Fanuc, moriseiki, takizawa, takamaz, okuma howa, enshu, toshiba, niigata, jsw, nissei , hitachi seiki dllJasa Pembuatan Spray Booth, Backing Oven, Conveyor, Maskig Jig Painting.            ","
              Jalan Raya Selang Jati No 56 RT 03 RW 03 Kampung Selang Jati Desa Wanajaya Kecamatan Cibitung Kabupaten Bekasi Jawa Barat Indonesia            ",Bekasi,Jawa Barat,+62 813-1580-2088,None,None
PT. Arya Pancarindo Perkasa,"
                                    PREMIUM GOLD
                                ",Service AC,"
              Kami PT. Arya Pancarindo Perkasa ( APP) adalah perusahaan yang bergerak dalam bidang general trading, supplier, distributor tunggal resmi bel otomatis sekolah ( BOS) untuk sekolah-sekolah, pabrik, instansi dan tempat-tempat yang memerlukan tingkat kedisiplinan "" ON TIME"" . Audio Sound Sistim merupakan keahlian utama dari perusahaan kami, yang telah berdiri sejak tahun 2008, PT.APP adalah perusahaan yang resmi yang memiliki Akte Notaris Perusahaan, Surat Keputusan Kementrian Hukum dan HAM RI, Domisili Perusahaan, NPWP, SIUP, TDP dan PKP di Kantor Pajak dan Rekening Perusahaan. Dan hingga saat ini sudah lebih dari 500 client yang telah menjalin kerjasama dengan kami. Bukan hanya mensuply tapi juga kami dapat melakukan instalasi / pemasangan yang didukung tenaga-tenaga yang handal dan profesional di bidangnya. Penyediaan alat dan Instalasi yang dapat disediakan oleh perusahaan kami adalah sbb : 1. Audio Sistim di gedung, sekolah, pabrik, gudang, mall, tempat wisata, apartement, mesjid, instansi baik pemerintah maupun swasta. 2. Audio Selektor + pendukungnya. 3. LCD Projector + perangkatnya 4. CCTV 5. Instalasi Listrik di Pabrik dan Perumahan. 6. Smoke dan Heat Detector 7. Car Call 8. Paging System Dalam memperluas bidang USAHA PT. Arya Pancarindo Perkasa, sejak tahun 2013, kami merambah di bidang "" Pembangunan"" dalam bidang Konstruksi Sipil dan juga pengadaan dalam bidang Electrical Development. Adapun cakupan nya adalah : - Perencanaan - Design dan Gambar - Konstruksi - Renovasi Juga kami menyediakan "" Design Interior"" sebagai pelengkap di Bidang Konstruksi Sipil. Untuk Electrical Development yang dapat kami lakukan seperti misalnya : menggabungkan mesin Alarm dengan Bel Timer otomatis di suatu pabrik dengan tambahan alat yang disebut Alarm Mixer Detection. Untuk Informasi lebih lanjut dapat menghubungi : Office : ( 021) 7975465  Hp : 081219450524 WA : 085697946499            ","
              Jl. Warung Jati Timur Raya no. 69Hp : 081219450524 WA : 085697946499            ",Jakarta Selatan,DKI Jakarta,+62 856-9794-6499,None,None
