Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
Sabilajati Mebel Jepara,"
                                    PREMIUM GOLD
                                ","Resort, Bungalow, Hotel","
SabilaJati Mebel Jepara merupakan produsen mebel yg cukup lama dan berorientasi pada kwalitas dan pelayanan yang prima.kami melayani segala bentuk funiture dan mebel baik interior maupun exterior yang terbuat dari kayu jati, mahoni, rotan, trembesi, HPL dll ","
              Bangsri Rt 02 Rw 15 Kec. Bangsri Kab. Jepara            ",Jepara,Jawa Tengah,+62 823-5485-9943,None,None
PT. Metalindo Prima Engineering,"
                                    PREMIUM GOLD
                                ","Resort, Bungalow, Hotel","
Pt. Metalindo Prima Engineering Perusahaan kami bergerak dibidang peralatan Penukar Kalor sejak th. 1992
Perusahaan kami adalah spesialis kontraktor Pendinginan dan fabrikator. Kami fabrikasi disesuaikan Berdasarkan Permintaan untuk Peralatan Heat Transfer. I. Produk Pabrication kami meliputi: Water Chiller

a. Air Cooled Chiller ( Scroll ; Reciprocating ; Screw )
b. Water Cooled Chiller ( Reciprocating ; Screw )
c. Heat Pump ( Air To Water ; Water To Water ; Air To Air )
d. Brine Chiller
e. Ice Bank
f. Absorption Chiller - Single Stage ; Two State - Direct Fire - Waste Heat

2. Split Duct & Packaged 3. Air Handling Unit ( AHU ) 4. Humidifier & Dehumidifier 

a. Cooling With Reheat Coil ( Dehum )
b. Desiccant System ( Dehum )
c. Air Atomizing Spay ( Humid )
d. Steam Spay ( Humid )

5. Heat Exchanger ( Tubular Heat Exhanger )

a. Shell And Tube
b. Air Cooler / Air Heater ( Gas Cooler ; Inter Cooler ; Condenser ; Evaporator ; Heat Exchanger )

6. Heat Recovery 

a. Economizer ; Wall Tube
b. Waste Gas Heat Recovery
c. Refrigerant Hot Gas Heat Recovery
d. Air To air Heat Recovery ( Rotary Type ; Ventilation Heat Recovery Type )

7. Fin Tube a. Circular Fin Tube b. Plate Fin Tube c. High Frequency Welded Fin Tube ( Solid ; Serrated ) d. Stud Fin Tube 8. U Tube II. Retubing Heat exchanger III. Mechanical & Electrical Design & Installation * Pasar kami di Industri seperti: Industri Kimia, Industri Makanan, Farmasi, dan Industri Minuman Proses, Oil and Gas, Hotel, Rumah Sakit dan Industri berbagai lainnya. ","
              Jl. KH. Zaenal MustafaNo.17Tlp. 087871073028            ",Rawa Bunga Jatinegara,DKI Jakarta,+62 812-1207-0575,None,None
