Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
PT SINAR PURNAMA TEKNIK,"
                                    PREMIUM GOLD
                                ",Sekolah & Fasilitas Olah Raga,"
              Sinar purnama teknik adalah perusahaan yang bergerak di bidang penjualan Generator, Welding Equipment, Lifting Equipment, Safety Equipment, Hand Tools, Alat Alat Trainer SMK.Dapatkan Produk Terbaik dengan Harga Terbaik dan Bergaransi.            ","
              Jl. Hasyim Ashari No 34 C, Cipondoh, Tangerang.Toko : LTC Glodok, Lantai UG Blok C21 No.9 Jakarta            ",Tangerang,Banten,+62 817-352-277,None,None
Sabilajati Mebel Jepara,"
                                    PREMIUM GOLD
                                ",Sekolah & Fasilitas Olah Raga,"
SabilaJati Mebel Jepara merupakan produsen mebel yg cukup lama dan berorientasi pada kwalitas dan pelayanan yang prima.kami melayani segala bentuk funiture dan mebel baik interior maupun exterior yang terbuat dari kayu jati, mahoni, rotan, trembesi, HPL dll ","
              Bangsri Rt 02 Rw 15 Kec. Bangsri Kab. Jepara            ",Jepara,Jawa Tengah,+62 823-5485-9943,None,None
PT. WIKA NIAGA SUKSES,"
PREMIUM RUBY
",Sekolah & Fasilitas Olah Raga,"
Kami adalah importir dan supplier dari produk diamond wheel, polishing wheel, cutting wheel, counter sink, cork pad, softboard, cork roll, tali kevlar dengan kualitas terbaik dan harga sangat bersaing. Bila ada permintaan ataupun kebutuhan untuk produksi kacanya jangan ragu untuk menghubungi kami...Kami akan memberikan harga terbaik. Kami juga akan membantu anda untuk memenuhi kebutuhan perusahaan. ","
              Komplek Ruko Grand Niaga
Jl. Puri Kencana Blok K6 nO. 3-O
Kembangan Selatan, Kembangan
(Samping tol kebon Jeruk)            ",JAKARTA BARAT,DKI Jakarta,+62 813-8014-1111,+62 811-9953-515,None
