Name,Membership,Category,Description,Address,City,Province,telp1,telp2,telp3
PT. Kanam Jaya Manunggal,"
PREMIUM RUBY
",Office Boy/Girl,"
Tentang Kami
PT. Kanam Jaya Manunggal merupakan salah satu perusahaan yang bergerak dalam bidang pelayanan jasa outsourcing/alih daya untuk memenuhi kebutuhan di perkantoran, industry, hotel, apartemen, pusat perbelanjaan dll.
Adapun layanan kami yang tesedia adalah; Cleaning Service, Kurir, Officeboy, Pengemudi, Receptionist dll.
Visi Perusahaan
Menjadi penggiat dan pemimpin terdepan dalam bidang usaha outsourcing dengan memprioritaskan etos kerja dan Etika yang professional, effective dan inovatif yang slalu mengedepankan nilai kemanusiaan dan profesionalisme tenaga kerja Indonesia sesuai dengan harkat dan martabat manusia Indonesia.
Misi Perusahaan
Peningkatan kualitas kuantitas dan variasi produk dengan tetap mempertahankan input sumber daya yang ada merupakan indicator tercapainya effisiensi dalam suatu perusahaan sebagai syarat tercapainya perusahaan yng berkembang dan berdaya saing tinggi sehingga dapat memberikan pelayanan yang professional dan berkualitas kepada pengguna jasa dengan tolak ukur, yaitu:
a. Kepuasan Mitra Kerja
Mitra kerja merasa terpenuhi keinginan dan kebutuhannya bahkan dapat melebihi harapan yang ada, serta membangun dan membina serta meningkatkan hubungan dengan pengguna jasa.
b. Memberikan Pelayanan Terbaik
Yaitu memastikan pelayanan yang diberikan merupakan pelayanan yang paling baik yang dapat diberkan.
c. Citra yang baik
Dengan bekerja secara professional dan berkualitas akan mewujudkan citra yang positif baik bagi perusahaan atau perusahaan pengguna jasa.
d. Memberikan Kesejahteraan Bagi Stakeholder dan Karyawan
Stakeholder dan karyawan adalah asset yang harus dipertahankan. Bahkan dengan pembinaan yang dilakukan pada akhirnya akan memberikan nilai tambah dan dapat menumbuh kembangkan perusahaan.
 


Pelayanan Kami
PT. Kanam Jaya Manunggal menyediakan jasa layanan cleaning service yang didukung oleh tenaga-tenaga yang handal,  professional serta berpengalaman dibidangnya dan didukung dengan peralatan kebersihan yang modern.
 
Pelayanan jasa Pengemudi. Keahlian personil pengemudi kami memiliki keahlian khusus yang jarang dimiliki oleh perusahaan outsource lainnya, yaitu bahwa pengemudi kami mendapatkan bimbingan serta berpengalaman bekerja membawa ekspatriat terutama berpengalaman di perusahaan-perusahaan jepang. Sehingga tidaklah heran apabila pengguna jasa perusahan kami 95% adalah perusahaan jepang.
 
Receptionist
Kami menyediakan layana jasa untuk receptionis sesua qualifikasi yang anda butuhkan.


Perizinan Usaha


Akte Notaris Ilmiawan Dekrit s., SH, MH No.48, Tanggal 23 Desember 2016
Pengesahan Akte Pendirian Men Kum Ham No.AHU-0057857.AH.01.01. TAHUN 2016
Tanda Daftar Perusahaan (TDP) No.10.27.1.70.06393
Surat Izin Usaha Perdagangan (SIUP) No.503/534/Kpts/HO-DPMPTSP/VII/2017
Surat Izin Perdagangan (SIUP) Kecil Nomor: 0435/10-27/PK/VIII/2017
Surat Izin Operasional Perusahaan (PPJP)No.560/6020-SK/HI & JAMSOS
Surat Keterangan Domisili Usaha (SKDU). Nomor:503/08-Ek.Bang
Nomor NPWP: 08.986.589.2-448.000
Sertifikat Kepesertaan BPJS Nomor: 170000000270757

PT. Kanam Jaya Manunggal - Biro Jasa Terbaikwww.kanamjayamanunggal.co.idKami mencari kandidat SDM/ Perkerja berpengalaman dan Profesional diberbagai bidang dengan selektif.Formulir Lowongan Kerja bisa klik link :http://bit.ly/FormulirLamaranKerjaPTKanamJayaManunggal

 ","
              Komp. Roko Pondok Cabe Mutiara, Blok B-15, Gaplek, Pondok Cabe Tanggerang Selatan            ",Tangerang Selatan,Banten,+62 811-805-024,None,None
PT. SAMUDERA SARANA LOGISTIK CABANG SURABAYA,"
                                    PREMIUM GOLD
                                ",Office Boy/Girl,"
Kami adalah PT Samudera Sarana Logistik Surabaya anak perusahaan Cabang PT. Samudera Indonesia Group, Tbk. Kami telah memiliki pengalaman sejak tahun 1980-an dan didirikan secara resmi pada 1991 Bisnis utama kami adalah; - Kontainer Depot - Modifikasi Kontainer Bekas - Maintenance and Repair Container - Reefer ServiceKami menawarkan modifikasi kontainer yang dibuat oleh tim profesional dan berpengalaman di bidangnya. Definisi Modifikasi Kontainer ( Portacamp) : Kontainer Office atau PortaCamp adalah sebuah bangunan yang dirancang dan dibangun untuk menjadi bergerak daripada terletak secara permanen. Bangunan portabel dapat di buat sesuai kebutuhan serta dapat dipindahkan atupun digunakan di kemudian hari.Kelebihan portacamp: - Perumahan permanen / sementara (tidak perlu IMB)- Sebagai bangunan kantor sementara - Sebagai kantin atau kafetaria hanya dengan ruang kecil yang diperlukan - Dapat dipindahkan atau dikirimkan seluruh Indonesia Produk Modifikasi Kontainer kami: Ruangan kantor, kamar Medis, Lounge, Kitchen, Canteen, Cold Storage, Laundry, Kamar Mandi, Kamar Tidur, Toilet, Gudang, Chiller & Frozen, Isotank, 10 ft dry dan 10 ft reefer dan sebagainya sesuai permintaan dari customer Pelanggan kami: - PT. Freeport Indonesia - PT. Medco Geothermal Indonesia ( Medco Energy) - PT. McConnell Dowell Indonesia - PT. Antareja Resources - PT. Sclumberger Geophisics Nusantara - PT. Elnusa - PT. Apexindo Pratama Duta - PT. Alam Bersemi Sentosa - PT. Sapta Indra Sejati - PT. Thiess Indonesia - PT. Sodexo Indonesia Dll  ","
              Jalan Greges Jaya III No. 2-4-6 Greges            ",Surabaya,Jawa Timur,+62 812-1388-6878,+62 821-2568-0449,None
PT. Indonesia Bersih Rapi,"
PREMIUM RUBY
",Office Boy/Girl,"
              ""PRAKATA""PT. INDONESIA BERSIH RAPI,  merupakan perusahaan perseroan terbatas, bergerak dalam Jasa perawatan taman, jasa kebersihan, dan jasa office boy/girl didirikan pada tahun 2019 yang sebelumnya bernama C. JAYA SANTIKAH yang didirikan pada tahn 1997 di JAWA TIMUR.AREA PERAWATAN TAMAN, JASA KEBERSIHAN/CLEANING SERVICE DAN OFFICE BOY GIRL SBB :1. Perkantoran2. Perumahan3. Mall4. Hotel5. Rumah sakit6. Sekolahan7. Bandara8. Stasiun9. Perbenkan10. Restorandan lainnya            ","
              Jl. Daan Mogot KM19 Smart Market Daan Mogot Blok B Nomor 05            ",Jakarta Barat,DKI Jakarta,+62 812-8998-071,+62 811-1833-992,08118457755
